artist_display_name,artist_begin_date,artist_end_date,artist_display_bio,artist_alpha_sort,artist_nationality,artist_ulan_url,artist_wikidata_url,artist_id
Olin Levi Warner,1844      ,1896      ,"American, West Suffield, Connecticut 1844–1896 New York","Warner, Olin Levi",American,http://vocab.getty.edu/page/ulan/500001669,https://www.wikidata.org/wiki/Q7086914,OW001
Harry W. Watrous,1857      ,1940      ,"American, San Francisco, California 1857–1940 New York","Watrous, Harry W.",American,http://vocab.getty.edu/page/ulan/500022191,https://www.wikidata.org/wiki/Q15876088,HW009
Frederick J. Waugh,1861      ,1940      ,"American, Bordentown, New Jersey 1861–1940 Provincetown, Massachusetts","Waugh, Frederick J",American,http://vocab.getty.edu/page/ulan/500010898,https://www.wikidata.org/wiki/Q5498174,FW007
Edwin Lord Weeks,1849      ,1903      ,"American, Boston, Massachusetts 1849–1903 Paris","Weeks, Edwin Lord",American,http://vocab.getty.edu/page/ulan/500023842,https://www.wikidata.org/wiki/Q3735411,EW009
Adolph Alexander Weinman,1870      ,1952      ,"American (born Germany), Karlsruhe 1870–1952 New York","Weinman, Adolph Alexander","American, born Germany",http://vocab.getty.edu/page/ulan/500090663,https://www.wikidata.org/wiki/Q265044,AW010
John Ferguson Weir,1841      ,1926      ,"American, West Point, New York 1841–1926 Providence, Rhode Island","Weir, John Ferguson",American,http://vocab.getty.edu/page/ulan/500000669,https://www.wikidata.org/wiki/Q6232998,JW018
Julian Alden Weir,1852      ,1919      ,"American, West Point, New York 1852–1919 New York","Weir, Julian Alden",American,http://vocab.getty.edu/page/ulan/500020809,https://www.wikidata.org/wiki/Q1284220,JW019
Robert Walter Weir,1803      ,1889      ,"American, New Rochelle, New York 1803–1889 New York","Weir, Robert Walter",American,http://vocab.getty.edu/page/ulan/500032615,https://www.wikidata.org/wiki/Q3695965,RW009
Adolph Ulrich Wertmuller,1751      ,1811      ,"Stockholm 1751–1811 Naamans Creek, Delaware","Wertmuller, Adolph Ulrich", ,http://vocab.getty.edu/page/ulan/500000778,https://www.wikidata.org/wiki/Q116418,AW011
Worthington Whittredge,1820      ,1910      ,"Springfield, Ohio 1820–1910 Summit, New Jersey","Whittredge, Worthington",American,http://vocab.getty.edu/page/ulan/500017639,https://www.wikidata.org/wiki/Q1370512,WW009
Irving Ramsey Wiles,1861      ,1948      ,1861–1948,"Wiles, Irving Ramsey",American,http://vocab.getty.edu/page/ulan/500030155,https://www.wikidata.org/wiki/Q3950852,IW004
John Wollaston,1700      ,1800      ,"Anglo-American, active 1733—67","Wollaston, John",Anglo-American,http://vocab.getty.edu/page/ulan/500031152,https://www.wikidata.org/wiki/Q3182782,JW022
