artist_display_name,artist_begin_date,artist_end_date,artist_display_bio,artist_alpha_sort,artist_nationality,artist_ulan_url,artist_wikidata_url,artist_id
Unknown,,,,,,,,UNKNOWN003
James Gillinder and Sons,1861      ,1930      ,"American, 1861–ca. 1930","Gillinder and Sons, James",American,http://vocab.getty.edu/page/ulan/500524407,https://www.wikidata.org/wiki/Q99264077,JS001
Forestville Manufacturing Company,1835      ,1853      ,1835–1853,Forestville Manufacturing Company ,American,,,FC001
Conrad Henninger,1885      ,1932      ,active ca. 1888–1932,"Henninger, Conrad",American,,,CH001
Pierre Stephan,1765      ,1795      ,"French, active ca. 1770–95","Stephan, Pierre",French,http://vocab.getty.edu/page/ulan/500100483,,PS001
New England Glass Company,1818      ,1888      ,"American, East Cambridge, Massachusetts, 1818–1888",New England Glass Company ,American,http://vocab.getty.edu/page/ulan/500356007,https://www.wikidata.org/wiki/Q17083157,NC001
Union Glass Company,          ,          ,"American, Somerville, Massachusetts",Union Glass Company,American,(not assigned),https://www.wikidata.org/wiki/Q18356496,UC001
John Bailey,1736      ,1815      ,"American, active New York, 1736–1815","Bailey, John",American,http://vocab.getty.edu/page/ulan/500524521,,JB001
John Molineux,1797      ,1820      ,active ca. 1800–1820,"Molineux, John",American,,,JM001
Revere and Son,1787      ,          ,ca. 1787–?,Revere and Son,American,,,RS001
Paul Revere Jr.,1734      ,1818      ,"American, Boston, Massachusetts 1734–1818 Boston, Massachusetts","Revere, Paul, Jr.",American,http://vocab.getty.edu/page/ulan/500017620,https://www.wikidata.org/wiki/Q327071,PJ001
Louis C. Tiffany,1848      ,1933      ,"American, New York 1848–1933 New York","Tiffany, Louis C.",American,http://vocab.getty.edu/page/ulan/500030415,https://www.wikidata.org/wiki/Q312950,LT001
Richard Wittingham,1794      ,1818      ,active before 1795–ca. 1818,"Wittingham, Richard",American,,,RW001
Augustus Truesdell,1810      ,1872      ,"American, 1810–1872","Truesdale, Augustus",American,http://vocab.getty.edu/page/ulan/500086065,https://www.wikidata.org/wiki/Q112716914,AT001
United Society of Believers in Christ’s Second Appearing (“Shakers”),1750      ,9999      ,"American, active ca. 1750–present",United Society of Believers in Christ’s Second Appearing,American,(not assigned),https://www.wikidata.org/wiki/Q1370167,U(001
Messenger Company,          ,9999      , ,Messenger Company , ,,,MC001
John Singer Sargent,1856      ,1925      ,"American, Florence 1856–1925 London","Sargent, John Singer",American,http://vocab.getty.edu/page/ulan/500023972,https://www.wikidata.org/wiki/Q155626,JS002
John Gaines III,1704      ,1743      ,"American, 1704–1743","Gaines, John III",American,http://vocab.getty.edu/page/ulan/500331018,,JI001
Wood and Hughes,1845      ,1899      ,1845–99,Wood and Hughes ,American,,,WH001
Gustave Herter,1830      ,1898      ,1830–1898,"Herter, Gustave","German (Stuttgart, principality of Württemberg)",http://vocab.getty.edu/page/ulan/500088027,https://www.wikidata.org/wiki/Q1556712,GH001
Thomas Affleck,1740      ,1795      ,1740–1795,"Affleck, Thomas",American,http://vocab.getty.edu/page/ulan/500034377,https://www.wikidata.org/wiki/Q7786960,TA001
Henry Connelly,1770      ,1826      ,1770–1826,"Connelly, Henry",American,http://vocab.getty.edu/page/ulan/500071541,,HC001
"J. S. Ford, Johnson and Company",1867      ,1902      ,"American, 1867–1902","Ford, Johnson and Company J. S.",American,http://vocab.getty.edu/page/ulan/500524463,,JC001
Solomon Fussell,1723      ,1750      ,active ca. 1726–50,"Fussell, Solomon",American,http://vocab.getty.edu/page/ulan/500070225,,SF001
Herter Brothers,1864      ,1906      ,"German, active New York, 1864–1906",Herter Brothers,American,http://vocab.getty.edu/page/ulan/500274670,https://www.wikidata.org/wiki/Q1614654,HB001
Heywood Brothers and Wakefield Company,1897      ,1921      ,"American, 1897–1921",Heywood Brothers and Wakefield Company ,American,http://vocab.getty.edu/page/ulan/500524421,,HC002
Hudson and Brooks,1773      ,1873      ,active ca. 1823,Hudson and Brooks ,American,,,HB002
George Jakob Hunzinger,1835      ,1898      ,1835–1898,"Hunzinger, George Jakob",American,http://vocab.getty.edu/page/ulan/500005428,https://www.wikidata.org/wiki/Q55720552,GH002
George Washington Maher,1864      ,1926      ,1864–1926,"Maher, George Washington",American,http://vocab.getty.edu/page/ulan/500059532,https://www.wikidata.org/wiki/Q4285694,GM001
Léon Marcotte,1824      ,1887      ,1824–1887,"Marcotte, Léon",French,http://vocab.getty.edu/page/ulan/500026799,https://www.wikidata.org/wiki/Q1717331,LM001
Marks Adjustable Folding Chair Company,1877      ,1897      ,1877–97,Marks Adjustable Folding Chair Company ,American,,,MC002
Samuel McIntire,1757      ,1811      ,1757–1811,"McIntire, Samuel",American,http://vocab.getty.edu/page/ulan/500023295,https://www.wikidata.org/wiki/Q370420,SM001
John and Joseph W. Meeks,1833      ,1859      ,active ca. 1836–59,"Meeks, John and Joseph W.",American,,,JM002
Charles-Honoré Lannuier,1779      ,1819      ,France 1779–1819 New York,"Lannuier, Charles-Honoré",American,http://vocab.getty.edu/page/ulan/500256814,https://www.wikidata.org/wiki/Q5074741,CL001
Duncan Phyfe,1770      ,1854      ,"American (born Scotland), near Lock Fannich, Ross-Shire, Scotland 1768/1770–1854 New York","Phyfe, Duncan","American, born Scotland",http://vocab.getty.edu/page/ulan/500082047,https://www.wikidata.org/wiki/Q3041258,DP001
Pottier and Stymus Manufacturing Company,1858      ,1919      ,active ca. 1858–1918/19,Pottier and Stymus Manufacturing Company , ,http://vocab.getty.edu/page/ulan/500330539,https://www.wikidata.org/wiki/Q2106610,PC001
Henry Hobson Richardson,1836      ,1886      ,1836–1886,"Richardson, Henry Hobson",American,http://vocab.getty.edu/page/ulan/500016339,https://www.wikidata.org/wiki/Q723234,HR001
Frank Lloyd Wright,1867      ,1959      ,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona","Wright, Frank Lloyd",American,http://vocab.getty.edu/page/ulan/500020307,https://www.wikidata.org/wiki/Q5604,FW001
John Jelliff,1813      ,1893      ,1813–1893,"Jelliff, John",American,http://vocab.getty.edu/page/ulan/500062668,https://www.wikidata.org/wiki/Q55720851,JJ001
Joseph Meeks & Sons,1829      ,1835      ,"American, New York, 1829–35","Meeks, Joseph & Sons",American,http://vocab.getty.edu/page/ulan/500524443,https://www.wikidata.org/wiki/Q97054971,JS003
Auguste-Emile Rinquet-Leprince,1801      ,1886      ,1801–1886,"Ringuet-Leprince, Auguste-Emile",French,,,AR001
Tobey Furniture Company,1875      ,1954      ,1875–1954,Tobey Furniture Company,American,http://vocab.getty.edu/page/ulan/500267871,https://www.wikidata.org/wiki/Q99632136,TC003
Archer and Warner,          ,          ,"American, Philadelphia, Pennsylvania",Archer and Warner ,American,,,AW001
Henry N. Hooper,          ,9999      , ,"Hooper, Henry N.",American,,,HH001
Tiffany Studios,1902      ,1932      ,1902–32,Tiffany Studios , ,http://vocab.getty.edu/page/ulan/500331813,https://www.wikidata.org/wiki/Q19587243,TS001
Thomas Danforth Boardman,1784      ,1873      ,1784–1873,"Boardman, Thomas Danforth",American,http://vocab.getty.edu/page/ulan/500334231,https://www.wikidata.org/wiki/Q82160313,TB001
Henry Kellam Hancock,1816      ,1851      ,1816–1851,"Hancock, Henry Kellam", ,,,HH002
Pierre Charles L'Enfant,1754      ,1825      ,1754–1825,"L'Enfant, Pierre Charles", ,http://vocab.getty.edu/page/ulan/500011763,https://www.wikidata.org/wiki/Q264764,PL001
Louis Henry Sullivan,1856      ,1924      ,"American, Boston, Massachusetts 1856–1924 Chicago, Illinois","Sullivan, Louis Henry",American,http://vocab.getty.edu/page/ulan/500013453,https://www.wikidata.org/wiki/Q243240,LS001
Curtis and Dunning,1816      ,1833      ,1816–ca. 1833,Curtis and Dunning ,American,,,CD001
Aaron Willard Jr.,1783      ,1864      ,1783–1864,"Willard, Jr. Aaron",American,http://vocab.getty.edu/page/ulan/500076346,https://www.wikidata.org/wiki/Q4662538,AJ001
Samuel Danforth,1774      ,1816      ,1774–1816,"Danforth, Samuel",American,http://vocab.getty.edu/page/ulan/500034372,https://www.wikidata.org/wiki/Q99453266,SD001
William Bradford Jr.,1688      ,1758      ,1688–1758,"Bradford, Jr. William",American,,,WJ001
Josiah Danforth,1803      ,1872      ,1803–1872,"Danforth, Josiah",American,,,JD002
Thomas S. Derby,1786      ,1852      ,ca. 1786–1852,"Derby, Thomas S.",American,,,TD001
J. Eberly and Company,          ,9999      , ,Eberly and Company J.,American,,,JC003
Sylvester Griswold,          ,9999      , ,"Griswold, Sylvester",American,,,SG002
Samuel Hamlin,1746      ,1801      ,1746–1801,"Hamlin, Samuel",American,http://vocab.getty.edu/page/ulan/500056845,https://www.wikidata.org/wiki/Q109886856,SH001
Samuel Ely Hamlin,1774      ,1864      ,1774–1864,"Hamlin, Samuel Ely",American,,,SH002
Gershom Jones,1751      ,1809      ,1751–1809,"Jones, Gershom",American,,,GJ001
George Lightner,1749      ,1815      ,1749–1815,"Lightner, George",American,,,GL001
"Lyman, Fenton & Co.",1849      ,1849      ,1849–52,"Lyman, Fenton and Company ",American,,,LC001
John Skinner,1733      ,1813      ,1733–1813,"Skinner, John",American,,,JS004
United States Pottery Company,1852      ,1852      ,1852–58,United States Pottery Company ,American,,,UC002
Joseph Leddel Sr.,1690      ,1754      ,ca. 1690–1754,"Leddel, Sr. Joseph",American,,,JS005
William Hook,1777      ,1867      ,1777–1867,"Hook, William",American,http://vocab.getty.edu/page/ulan/500273735,,WH002
Myer Myers,1723      ,1795      ,1723–1795,"Myers, Myer",American,http://vocab.getty.edu/page/ulan/500092592,https://www.wikidata.org/wiki/Q29441860,MM001
Laurent Amyot (Amiot),1764      ,1839      ,1764–1839,"Amyot, (Amiot) Laurent",American,http://vocab.getty.edu/page/ulan/500086270,https://www.wikidata.org/wiki/Q3218993,L(001
Adrian Bancker,1703      ,1772      ,1703–1772,"Bancker, Adrian",American,(not assigned),https://www.wikidata.org/wiki/Q66827450,AB001
Jurian Blanck Jr.,1645      ,1714      ,baptized 1645–ca. 1714/15,"Blanck, Jr. Jurian",American,http://vocab.getty.edu/page/ulan/500069546,,JJ003
Timothy Boardman,1798      ,1825      ,1798–1825,"Boardman, Timothy",American,,,TB002
Benjamin Burt,1729      ,1805      ,"American, Boston, Massachusetts 1729–1805 Boston, Massachusetts","Burt, Benjamin",American,http://vocab.getty.edu/page/ulan/500086951,https://www.wikidata.org/wiki/Q26904976,BB001
Denis Colombier,1776      ,1806      ,active 1776–after 1806,"Colombier, Denis", ,,,DC001
Samuel Drowne,1749      ,1815      ,1749–1815,"Drowne, Samuel",American,,,SD002
Cary Dunn,1762      ,1796      ,active ca. 1765–96,"Dunn, Cary",American,(not assigned),https://www.wikidata.org/wiki/Q67157500,CD002
Joseph Edwards Jr.,1737      ,1783      ,1737–1783,"Edwards, Jr. Joseph",American,(not assigned),https://www.wikidata.org/wiki/Q67184234,JJ004
John Goodhue,1819      ,1855      ,active ca. 1822–55,"Goodhue, John",American,,,JG001
"Gregg, Hayden and Company",1829      ,1840      ,active ca. 1832–40,"Gregg, Hayden and Company ",American,,,GC001
Ashbil Griswold,1784      ,1853      ,1784–1853,"Griswold, Ashbil",American,http://vocab.getty.edu/page/ulan/500330076,https://www.wikidata.org/wiki/Q112628549,AG001
George Hanners Sr.,1693      ,1740      ,ca. 1696–1740,"Hanners, George",American,,,GS001
Isaac Hutton,1766      ,1855      ,"American, New York 1766–1855 Albany, New York","Hutton, Isaac",American,http://vocab.getty.edu/page/ulan/500524522,https://www.wikidata.org/wiki/Q37640816,IH001
Edward Kinsey,1831      ,1845      ,active ca. 1834–45,"Kinsey, Edward",American,,,EK001
Thomas Lynde,1745      ,1811      ,1745–1811,"Lynde, Thomas",American,,,TL002
David Moseley,1752      ,1812      ,1752–1812,"Moseley, David",American,,,DM001
"William Moulton, IV",1772      ,1861      ,1772–1861,"Moulton, IV William",American,(not assigned),https://www.wikidata.org/wiki/Q98059556,WI001
Thomas Richards,1765      ,1865      ,active ca. 1815,"Richards, Thomas",American,,,TR001
Joseph Russell,1702      ,1780      ,1702–1780,"Russell, Joseph",American,,,JR001
Moody Russell,1694      ,1761      ,1694–1761,"Russell, Moody",American,(not assigned),https://www.wikidata.org/wiki/Q98667592,MR001
Shepherd and Boyd,1806      ,1830      ,active 1806–30,Shepherd and Boyd ,American,,,SB002
Oliver Trask,1792      ,1847      ,1792–1847,"Trask, Oliver",American,http://vocab.getty.edu/page/ulan/500331267,,OT001
C. White,1827      ,1840      ,active ca. 1830–40,"White, C.",American,,,CW001
Benjamin Wynkoop,1675      ,1751      ,baptized 1675–1751,"Wynkoop, Benjamin",American,(not assigned),https://www.wikidata.org/wiki/Q72823949,BW001
Jacob Jacobse Lansing,1714      ,1791      ,baptized 1714–1791,"Lansing, Jacob Jacobse",American,,,JL002
Parker Pottery,          ,          , ,Parker Pottery,American,,,PP001
Thomas Seymour,1771      ,1848      ,1771–1848,"Seymour, Thomas",American,http://vocab.getty.edu/page/ulan/500023428,https://www.wikidata.org/wiki/Q61764333,TS002
Baumann Brothers,          ,9999      , ,Baumann Brothers ,American,,,BB002
Alexander Roux,1813      ,1886      ,1813–1886,"Roux, Alexander",French,(not assigned),https://www.wikidata.org/wiki/Q4719984,AR002
Jean-Baptiste Nini,1717      ,1786      ,"Italian, Urbino 1717–1786 Chaumont-sur-Loire","Nini, Jean-Baptiste",Italian,http://vocab.getty.edu/page/ulan/500109368,https://www.wikidata.org/wiki/Q3164318,JN001
Ott and Brewer,1871      ,1893      ,"American, Trenton, New Jersey, 1871–1893",Ott and Brewer ,American,,,OB001
Jean Jacques Caffiéri,1725      ,1792      ,"French, Paris 1725–1792 Paris","Caffiéri, Jean Jacques",French,http://vocab.getty.edu/page/ulan/500014899,https://www.wikidata.org/wiki/Q3107836,JC004
Jean Martin Renaud,1746      ,1821      ,"French, Sarreguemines 1746–1821 Paris","Renaud, Jean Martin",French,http://vocab.getty.edu/page/ulan/500405220,https://www.wikidata.org/wiki/Q21287381,JR002
Josiah Wedgwood and Sons,1759      ,9999      ,"British, Etruria, Staffordshire, 1759–present","Wedgwood and Sons, Josiah",British,http://vocab.getty.edu/page/ulan/500269607,https://www.wikidata.org/wiki/Q595544,JS006
Henry I. Seymour,1851      ,1885      ,active ca. 1851–85,"Seymour, Henry I.",American,,,HS002
J. and W. Moir,1795      ,1895      ,active ca. 1845,"Moir, J. and W.",American,,,JM003
Miller Iron Company,          ,9999      , ,Miller Iron Company ,American,,,MC003
"Bakewell, Pears and Company",1836      ,1882      ,1836–1882,"Bakewell, Pears and Company ",American,,,BC002
Benjamin Burnham,1726      ,1773      ,ca. 1729–1773,"Burnham, Benjamin",American,,,BB003
"Challinor, Taylor and Company",1866      ,1891      ,1866–1891,"Challinor, Taylor and Company ",American,,,CC001
J. and J. G. Low Art Tile Works,1877      ,1903      ,"American, Chelsea, Massachusetts, 1877–1903","Low Art Tile Works, J. and J. G.",American,http://vocab.getty.edu/page/ulan/500276336,,JW001
A. R. Samuels,          ,9999      , ,"Samuels, A. R.",American,,,AS001
Wistarburgh Glassworks,          ,9999      , ,Wistarburgh Glassworks ,American,,,WG001
Sebastian Witmer,          ,9999      , ,"Witmer, Sebastian", ,,,SW002
Master Potter A,          ,          , ,Master Potter A, ,,,MA001
Hervey Brooks,1779      ,1873      ,1779–1873,"Brooks, Hervey",American,http://vocab.getty.edu/page/ulan/500329472,https://www.wikidata.org/wiki/Q97093379,HB003
Redwood Glass Company,1828      ,1868      ,1828–1868,Redwood Glass Company ,American,,,RC001
Adams and Company,          ,9999      , ,Adams and Company ,American,(not assigned),https://www.wikidata.org/wiki/Q56033713,AC001
Jacob Boelen,1657      ,1729      ,ca. 1657–1729,"Boelen, Jacob",American,http://vocab.getty.edu/page/ulan/500329455,https://www.wikidata.org/wiki/Q66896177,JB003
Ephraim Brasher,1744      ,1810      ,"American, baptized 1744–1810","Brasher, Ephraim",American,http://vocab.getty.edu/page/ulan/500332766,https://www.wikidata.org/wiki/Q12280013,EB001
"Ceramic Art Company, Trenton, New Jersey",1889      ,1896      ,"American, 1889–1896",Ceramic Art Company ,American,http://vocab.getty.edu/page/ulan/500356006,,CJ001
W. T. Copeland and Sons,1847      ,2002      ,1847–present,Copeland and Sons W. T., ,http://vocab.getty.edu/page/ulan/500357016,,WS002
Cristalleries de Saint-Louis,          ,9999      , ,"Cristalleries, de Saint-Louis ", ,,,CS001
"Dalzell, Gilmore and Leighton",1885      ,1898      ,1885–1898,"Dalzell, Gilmore and Leighton ",American,,,DL001
T. G. Hawkes and Company,          ,9999      , ,Hawkes and Company T. G.,American,,,TC004
"Hobbs, Brockunier and Company",1863      ,1891      ,1863–1891,"Hobbs, Brockunier and Company ",American,http://vocab.getty.edu/page/ulan/500330432,https://www.wikidata.org/wiki/Q16997505,HC004
Chauncey Johnson,1822      ,1841      ,active ca. 1825–41,"Johnson, Chauncey",American,,,CJ002
Cornelius Kierstede,1674      ,1760      ,1674–ca. 1757,"Kierstede, Cornelius",American,http://vocab.getty.edu/page/ulan/500068837,https://www.wikidata.org/wiki/Q67131647,CK001
Jesse Kip,1660      ,1722      ,baptized 1660–1722,"Kip, Jesse",American,,,JK002
"Knowles, Taylor, and Knowles",1870      ,1929      ,1870–1929,"Knowles, Taylor, and Knowles ",American,,,KK001
Marcus and Co.,1892      ,1942      ,"American, New York, 1892–1942",Marcus and Co.,American,http://vocab.getty.edu/page/ulan/500524439,,MC004
Robert Palethorp Jr.,1797      ,1822      ,1797–1822,"Palethorp, Jr. Robert",American,,,RJ001
Providence Flint Glass Works,1830      ,1833      ,1830–33,Providence Flint Glass Works ,American,,,PW002
Rookwood Pottery Company,1880      ,1967      ,"American, Cincinnati, Ohio 1880–1967",Rookwood Pottery Company,American,http://vocab.getty.edu/page/ulan/500331050,https://www.wikidata.org/wiki/Q7366233,RC002
Stevens and Williams,          ,9999      , ,Stevens and Williams , ,,,SW003
Arthur J. Stone,1847      ,1938      ,1847–1938,"Stone, Arthur J.",American,http://vocab.getty.edu/page/ulan/500104575,https://www.wikidata.org/wiki/Q4799203,AS002
Philip Syng Jr.,1703      ,1789      ,1703–1789,"Syng, Jr. Philip",American,http://vocab.getty.edu/page/ulan/500034104,https://www.wikidata.org/wiki/Q7184446,PJ002
Tiffany Furnaces,          ,9999      ,New York,Tiffany Furnaces,American,http://vocab.getty.edu/page/ulan/500330299,,TF001
W. T.,          ,9999      , ,W. T., ,,,WT001
Whiting Manufacturing Company,1866      ,1926      ,"American, Attleboro, Massachusetts, 1866–1926",Whiting Manufacturing Company ,American,http://vocab.getty.edu/page/ulan/500330428,https://www.wikidata.org/wiki/Q98065839,WC002
Gorham Manufacturing Company,1831      ,9999      ,"American, Providence, Rhode Island, 1831–present",Gorham Manufacturing Company,American,http://vocab.getty.edu/page/ulan/500331814,https://www.wikidata.org/wiki/Q48386771,GC002
Union Porcelain Works,1863      ,1922      ,1863–1922,Union Porcelain Works ,American,http://vocab.getty.edu/page/ulan/500333024,https://www.wikidata.org/wiki/Q18356506,UW001
C. Dorflinger and Sons,1881      ,1921      ,"American, White Mills, Pennsylviania, 1881–1921",Dorflinger and Sons Christian,American,http://vocab.getty.edu/page/ulan/500337181,,CS002
Henry Bucher,          ,9999      , ,"Bucher, Henry",American,,,HB004
William Buell,1631      ,1681      ,died 1681,"Buell, William",American,,,WB001
Joseph Siffred Duplessis,1725      ,1802      ,"French, Carpentras 1725–1802 Versailles","Duplessis, Joseph Siffred",French,http://vocab.getty.edu/page/ulan/500016763,https://www.wikidata.org/wiki/Q2286906,JD004
Christian Selzer,1777      ,1800      ,active ca. 1780–1800,"Selzer, Christian",American,,,CS003
Marie Zimmermann,1879      ,1972      ,"American, Brooklyn, New York 1879–1972 Punta Gorda, Florida","Zimmermann, Marie",American,http://vocab.getty.edu/page/ulan/500106043,https://www.wikidata.org/wiki/Q6763088,MZ001
Seraphim Masi,1819      ,1852      ,active ca. 1822–52,"Masi, Seraphim",American,,,SM002
Jervis McEntee,1828      ,1891      ,"American, Rondout, New York 1828–1891 Rondout, New York","McEntee, Jervis",American,http://vocab.getty.edu/page/ulan/500024287,https://www.wikidata.org/wiki/Q2580100,JM004
Gerardus Boyce,1795      ,1880      ,1795/96–1880,"Boyce, Gerardus",American,,,GB001
"Griffen, Smith and Hill",1880      ,1889      ,1880–1889,"Griffen, Smith and Hill ",American,http://vocab.getty.edu/page/ulan/500331049,,GH003
Augustus Welby Northmore Pugin,1812      ,1852      ,"British, London 1812–1852 Ramsgate","Pugin, Augustus Welby Northmore",British,http://vocab.getty.edu/page/ulan/500008414,https://www.wikidata.org/wiki/Q313288,AP001
Unger Brothers,1872      ,1919      ,1872–1919,Unger Brothers, ,http://vocab.getty.edu/page/ulan/500490017,https://www.wikidata.org/wiki/Q98065799,UB001
Augustus Saint-Gaudens,1848      ,1907      ,"American, Dublin 1848–1907 Cornish, New Hampshire","Saint-Gaudens, Augustus",American,http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q770625,AS003
Theodore B. Starr,1837      ,1907      ,"American, New Rochelle, New York 1837–1907 Ridgefield, Connecticut","Starr, Theodore B.",American,http://vocab.getty.edu/page/ulan/500524230,,TS003
John Townsend,1732      ,1809      ,1732–1809,"Townsend, John",American,http://vocab.getty.edu/page/ulan/500062602,https://www.wikidata.org/wiki/Q56006667,JT003
Richards and Hartley Flint Glass Co.,1867      ,1890      ,ca. 1870–1890,Richards and Hartley Flint Glass Co. ,American,,,RC003
William Forbes,1826      ,1863      ,"baptized 1799, active New York, 1826–63","Forbes, William",American,,,WF001
Thomas Hamersley,1727      ,1781      ,1727–1781,"Hamersley, Thomas",American,,,TH001
Daniel Pabst,1826      ,1910      ,"American, born Germany 1826–1910 Philadelphia, Pennsylvania","Pabst, Daniel","American, born Germany",http://vocab.getty.edu/page/ulan/500079679,https://www.wikidata.org/wiki/Q5218374,DP002
James Tassie,1735      ,1799      ,"British, Glasgow, Scotland 1735–1799 London","Tassie, James","British, Scottish",http://vocab.getty.edu/page/ulan/500020360,https://www.wikidata.org/wiki/Q6144027,JT004
N. Hooper,          ,9999      , ,"Hooper, N.",American,,,NH001
Joseph Lownes,1758      ,1820      ,1758–1820,"Lownes, Joseph",American,http://vocab.getty.edu/page/ulan/500330248,https://www.wikidata.org/wiki/Q95456511,JL003
William Sprats,1747      ,1810      ,"American, 1747–1810","Sprats, William",American,,,WS003
Benjamin Gerrish,          ,9999      , ,"Gerrish, Benjamin",American,,,BG001
E. Durnall,          ,9999      , ,"Durnall, E.", ,,,ED001
Diego Gonzales de la Cueva,1733      ,1778      , ,"Gonzales, de la Cueva Diego", ,,,DC002
Evelyn Beatrice Longman,1874      ,1954      ,"American, Winchester, Ohio 1874–1954 Osterville, Massachusetts","Longman, Evelyn Beatrice",American,http://vocab.getty.edu/page/ulan/500017112,https://www.wikidata.org/wiki/Q431475,EL001
Pairpoint Manufacturing Corporation,1894      ,1938      ,"American, New Bedford, Massachusetts 1894–1938",Pairpoint Manufacturing Corporation ,American,,,PC004
Christian Dorflinger,1828      ,1915      ,1828–1915,"Dorflinger, Christian",French,http://vocab.getty.edu/page/ulan/500316948,https://www.wikidata.org/wiki/Q16948007,CD003
Rufus Dunham,1815      ,1882      ,1815–1882,"Dunham, Rufus",American,,,RD001
Michael Edkins,          ,          , ,"Edkins, Michael", ,,,ME001
Jacob Hurd,1702      ,1758      ,"American, Boston, Massachusetts 1702/3–1758 Boston, Massachusetts","Hurd, Jacob",American,http://vocab.getty.edu/page/ulan/500066811,https://www.wikidata.org/wiki/Q18508318,JH003
Robert R. Jarvie,1865      ,1941      ,"American, 1865–1941","Jarvie, Robert R.",American,http://vocab.getty.edu/page/ulan/500083682,https://www.wikidata.org/wiki/Q96397175,RJ002
Charles Rohlfs,1853      ,1936      ,"American, Brooklyn, New York 1853–1936 Buffalo, New York","Rohlfs, Charles",American,http://vocab.getty.edu/page/ulan/500293039,https://www.wikidata.org/wiki/Q1065941,CR001
Sellew and Company,1832      ,1860      ,1832–60,Sellew and Company ,American,,,SC002
Samuel Siervent,1755      ,1760      ,active from 1755,"Siervent, Samuel", ,,,SS001
William Thomson,1777      ,1833      ,1777–1833,"Thomson, William",American,,,WT002
B. M.,          ,9999      , ,B. M.,American,,,BM001
Edward Winslow,1669      ,1753      ,1669–1753,"Winslow, Edward",American,http://vocab.getty.edu/page/ulan/500077139,https://www.wikidata.org/wiki/Q56451893,EW001
Matthew Boulton,1728      ,1809      ,"British, Birmingham 1728–1809 Birmingham","Boulton, Matthew",British,http://vocab.getty.edu/page/ulan/500044303,https://www.wikidata.org/wiki/Q469269,MB001
Ebenezer Cocker,1689      ,1789      ,active ca. 1739,"Cocker, Ebenezer", ,,,EC001
Dorflinger Glass Works,1865      ,1881      ,1865–1881,Dorflinger Glass Works ,American,,,DW001
John Goddard,1724      ,1785      ,1724–1785,"Goddard, John",American,http://vocab.getty.edu/page/ulan/500008584,https://www.wikidata.org/wiki/Q62607058,JG002
Michael Allison,1773      ,1855      ,1773–1855,"Allison, Michael",American,http://vocab.getty.edu/page/ulan/500122723,https://www.wikidata.org/wiki/Q97108595,MA002
Anthony G. Quervelle,1789      ,1856      ,1789–1856,"Quervelle, Anthony G.",American,http://vocab.getty.edu/page/ulan/500103691,https://www.wikidata.org/wiki/Q62097287,AQ001
Boston Clock Company,1888      ,1897      ,1888–1897,Boston Clock Company ,American,,,BC004
William Breed,1719      ,1761      ,1719–1761/62,"Breed, William",American,,,WB002
Samuel Edwards,1705      ,1762      ,1705–1762,"Edwards, Samuel",American,http://vocab.getty.edu/page/ulan/500333698,https://www.wikidata.org/wiki/Q69299909,SE001
Nathaniel Helme,1761      ,1789      ,1761–1789,"Helme, Nathaniel",American,,,NH002
Charles Le Roux,1689      ,1745      ,baptized 1689–1745,"Le Roux, Charles",American,http://vocab.getty.edu/page/ulan/500332065,,CR002
Knight Leverett,1702      ,1753      ,1702/03–1753,"Leverett, Knight",American,,,KL001
Jonathan Otis,1723      ,1791      ,1723–1791,"Otis, Jonathan",American,,,JO002
Mark Nelson,1733      ,1787      ,1733–1787,"Nelson, Mark",American,,,MN001
"Bakewell, Page & Bakewell",1808      ,1882      ,1808–1882,"Bakewell, Page & Bakewell",American,http://vocab.getty.edu/page/ulan/500331518,https://www.wikidata.org/wiki/Q4849347,BB004
"Bakewell, Page & Bakewells",1827      ,1827      ,1827–1832,"Bakewell, Page & Bakewells",American,http://vocab.getty.edu/page/ulan/500331518,https://www.wikidata.org/wiki/Q4849347,BB005
Portland Glass Company,1864      ,1873      ,1864–73,Portland Glass Company ,American,,,PC005
Karl L. H. Müller,1820      ,1890      ,1820–1887,"Müller, Karl L. H.",American,http://vocab.getty.edu/page/ulan/500332076,,KM001
John Burt,1692      ,1746      ,1692/93–1745/46,"Burt, John",American,http://vocab.getty.edu/page/ulan/500329476,https://www.wikidata.org/wiki/Q96198477,JB004
John Coney,1655      ,1722      ,1655/56–1722,"Coney, John",American,http://vocab.getty.edu/page/ulan/500043419,https://www.wikidata.org/wiki/Q6226850,JC005
Peter Van Dyck,1684      ,1750      ,1684–1750,"Van Dyck, Peter",American,(not assigned),https://www.wikidata.org/wiki/Q67171835,PD001
William Worthington,1775      ,1839      ,"American, 1775–1839","Worthington, William",American,http://vocab.getty.edu/page/ulan/500018075,https://www.wikidata.org/wiki/Q21465450,WW001
Stephen Badlam,1751      ,1815      ,1751–1815,"Badlam, Stephen",American,http://vocab.getty.edu/page/ulan/500313739,https://www.wikidata.org/wiki/Q108254453,SB003
Carlo Bugatti,1855      ,1940      ,"Italian, Milan 1855–1940 Molsheim","Bugatti, Carlo",Italian,http://vocab.getty.edu/page/ulan/500006692,https://www.wikidata.org/wiki/Q549250,CB001
